kappa,a,sigma,level,hmax,reference_power,reference_step,number_of_fine_steps,n_paths,rmse,backstop_fraction,mean_steps_per_path,runtime_s
2.0,0.56,0.33466401061363027,5,0.03125,14,6.103515625e-05,16384,1000,0.00022864284293595748,0.002159014473393322,212.597,0.24618199979886413
2.0,0.56,0.33466401061363027,6,0.015625,14,6.103515625e-05,16384,1000,0.00011827713027678912,0.0019830981178086417,428.118,0.2906594001688063
2.0,0.56,0.33466401061363027,7,0.0078125,14,6.103515625e-05,16384,1000,5.6820831098525064e-05,0.0018428859317948375,870.374,0.31445720000192523
2.0,0.56,0.33466401061363027,8,0.00390625,14,6.103515625e-05,16384,1000,2.7773783182799707e-05,0.0017457853099336457,1806.064,0.3028756999410689
2.0,0.56,0.33466401061363027,9,0.001953125,14,6.103515625e-05,16384,1000,1.4338559785971038e-05,0.008084962533100455,3869.282,0.5648831999860704
2.0,0.6000000000000001,0.3464101615137755,4,0.0625,14,6.103515625e-05,16384,1000,0.0004765746853346985,0.003618572879165513,108.33,0.318597299978137
2.0,0.6000000000000001,0.3464101615137755,5,0.03125,14,6.103515625e-05,16384,1000,0.00021988546207001264,0.0032262673469481817,216.969,0.27867629984393716
2.0,0.6000000000000001,0.3464101615137755,6,0.015625,14,6.103515625e-05,16384,1000,0.00010956182313838932,0.002969524624405466,437.107,0.38456749985925853
2.0,0.6000000000000001,0.3464101615137755,7,0.0078125,14,6.103515625e-05,16384,1000,5.817201014065036e-05,0.0028173542727437276,889.487,0.30906899995170534
2.0,0.6000000000000001,0.3464101615137755,8,0.00390625,14,6.103515625e-05,16384,1000,2.8520370488229435e-05,0.0026595241403584275,1849.579,0.4754453001078218
2.0,0.6000000000000001,0.3464101615137755,9,0.001953125,14,6.103515625e-05,16384,1000,1.4614532194214642e-05,0.01124872265470562,3958.405,0.6517101000063121
2.0,0.64,0.35777087639996635,4,0.0625,14,6.103515625e-05,16384,1000,0.0004713912160216788,0.005289809205172258,110.59,0.27655629999935627
2.0,0.64,0.35777087639996635,5,0.03125,14,6.103515625e-05,16384,1000,0.00023504393513795608,0.004924262940295005,221.556,0.301230400102213
2.0,0.64,0.35777087639996635,6,0.015625,14,6.103515625e-05,16384,1000,0.00011692722672561447,0.004554951662422992,446.547,0.30031100008636713
2.0,0.64,0.35777087639996635,7,0.0078125,14,6.103515625e-05,16384,1000,5.8492665771865876e-05,0.004287461128045428,909.396,0.3051297999918461
2.0,0.64,0.35777087639996635,8,0.00390625,14,6.103515625e-05,16384,1000,2.905360467720428e-05,0.004009344231066561,1895.073,0.323888499988243
2.0,0.64,0.35777087639996635,9,0.001953125,14,6.103515625e-05,16384,1000,1.421289669681986e-05,0.01507990402574596,4048.169,0.4320890000090003
2.0,0.68,0.3687817782917155,4,0.0625,14,6.103515625e-05,16384,1000,0.00047087040236144665,0.008027685335976776,112.984,0.2344010998494923
2.0,0.68,0.3687817782917155,5,0.03125,14,6.103515625e-05,16384,1000,0.00023962385481970624,0.006940640076342623,226.348,0.23449309985153377
2.0,0.68,0.3687817782917155,6,0.015625,14,6.103515625e-05,16384,1000,0.00011723213455492317,0.006636096949673892,456.443,0.22761120018549263
2.0,0.68,0.3687817782917155,7,0.0078125,14,6.103515625e-05,16384,1000,5.8805622576902585e-05,0.006223384016114158,930.362,0.36351500009186566
2.0,0.68,0.3687817782917155,8,0.00390625,14,6.103515625e-05,16384,1000,3.186935467146947e-05,0.0058414095147702886,1942.853,0.39741520001553
2.0,0.68,0.3687817782917155,9,0.001953125,14,6.103515625e-05,16384,1000,1.5293729957020004e-05,0.019507740035323653,4138.87,0.5051021000836045
2.0,0.7200000000000001,0.37947331922020555,4,0.0625,14,6.103515625e-05,16384,1000,0.000506629646716582,0.01075762431465618,115.453,0.25966529990546405
2.0,0.7200000000000001,0.37947331922020555,5,0.03125,14,6.103515625e-05,16384,1000,0.0002474209020117279,0.00973731296838939,231.378,0.2954774000681937
2.0,0.7200000000000001,0.37947331922020555,6,0.015625,14,6.103515625e-05,16384,1000,0.00011994960489874345,0.009187678911191485,466.712,0.27083060005679727
2.0,0.7200000000000001,0.37947331922020555,7,0.0078125,14,6.103515625e-05,16384,1000,5.839754051185118e-05,0.008690565459124411,952.182,0.33130270009860396
2.0,0.7200000000000001,0.37947331922020555,8,0.00390625,14,6.103515625e-05,16384,1000,3.146888756501573e-05,0.008147243623814464,1992.453,0.3647241999860853
2.0,0.7200000000000001,0.37947331922020555,9,0.001953125,14,6.103515625e-05,16384,1000,1.6489635731782993e-05,0.024344319197934894,4230.679,0.5013879998587072
2.0,0.76,0.3898717737923586,4,0.0625,14,6.103515625e-05,16384,1000,0.0005137328038005733,0.014576716215643925,118.065,0.2157415000256151
2.0,0.76,0.3898717737923586,5,0.03125,14,6.103515625e-05,16384,1000,0.00025360257646364805,0.013082531966606784,236.575,0.2478550998494029
2.0,0.76,0.3898717737923586,6,0.015625,14,6.103515625e-05,16384,1000,0.0001260981515315029,0.012187893373212607,477.441,0.3305240999907255
2.0,0.76,0.3898717737923586,7,0.0078125,14,6.103515625e-05,16384,1000,6.381532635927465e-05,0.011620965740203208,974.962,0.3330934001132846
2.0,0.76,0.3898717737923586,8,0.00390625,14,6.103515625e-05,16384,1000,3.31562728897835e-05,0.0108750946489819,2044.396,0.37129150005057454
2.0,0.76,0.3898717737923586,9,0.001953125,14,6.103515625e-05,16384,1000,1.5716383340289026e-05,0.02972610862694317,4322.261,0.5471526000183076
2.0,0.8,0.4,4,0.0625,14,6.103515625e-05,16384,1000,0.0005619843509280276,0.018603803591544628,120.728,0.23869129992090166
2.0,0.8,0.4,5,0.03125,14,6.103515625e-05,16384,1000,0.0002351471850384247,0.01701253729369664,241.998,0.22688230010680854
2.0,0.8,0.4,6,0.015625,14,6.103515625e-05,16384,1000,0.00012332035134450392,0.01596918328332303,488.566,0.28764590015634894
2.0,0.8,0.4,7,0.0078125,14,6.103515625e-05,16384,1000,6.172573725753154e-05,0.01506471759413195,998.492,0.30334219988435507
2.0,0.8,0.4,8,0.00390625,14,6.103515625e-05,16384,1000,3.2358036816846085e-05,0.014109727492896509,2097.56,0.38656759983859956
2.0,0.8,0.4,9,0.001953125,14,6.103515625e-05,16384,1000,1.5397387041568224e-05,0.03543295846986463,4413.518,0.5361913000233471
2.0,0.8400000000000001,0.40987803063838396,4,0.0625,14,6.103515625e-05,16384,1000,0.0005367983362323201,0.023680950800294698,123.517,0.22834510006941855
2.0,0.8400000000000001,0.40987803063838396,5,0.03125,14,6.103515625e-05,16384,1000,0.000251894063037806,0.021489005108737354,247.615,0.2855454001110047
2.0,0.8400000000000001,0.40987803063838396,6,0.015625,14,6.103515625e-05,16384,1000,0.00013349743702161933,0.020398817784425628,500.078,0.2915066001005471
2.0,0.8400000000000001,0.40987803063838396,7,0.0078125,14,6.103515625e-05,16384,1000,6.55738721961967e-05,0.019311085127932396,1022.884,0.30147890001535416
2.0,0.8400000000000001,0.40987803063838396,8,0.00390625,14,6.103515625e-05,16384,1000,3.185102323180209e-05,0.018027960711196826,2152.878,0.3897596001625061
2.0,0.8400000000000001,0.40987803063838396,9,0.001953125,14,6.103515625e-05,16384,1000,1.688132935057904e-05,0.041793645429852436,4504.034,0.4723959001712501
2.0,0.88,0.41952353926806063,4,0.0625,14,6.103515625e-05,16384,1000,0.0005165855402342073,0.029052604920977863,126.357,0.2332484999205917
2.0,0.88,0.41952353926806063,5,0.03125,14,6.103515625e-05,16384,1000,0.0002594451309859477,0.02704142642340433,253.389,0.20638459990732372
2.0,0.88,0.41952353926806063,6,0.015625,14,6.103515625e-05,16384,1000,0.00012687474821394625,0.025456505942195447,511.932,0.25665909983217716
2.0,0.88,0.41952353926806063,7,0.0078125,14,6.103515625e-05,16384,1000,7.483150941411124e-05,0.02410913570680848,1047.943,0.305378699908033
2.0,0.88,0.41952353926806063,8,0.00390625,14,6.103515625e-05,16384,1000,3.436070432362515e-05,0.022474843568374047,2210.071,0.4686800998169929
2.0,0.88,0.41952353926806063,9,0.001953125,14,6.103515625e-05,16384,1000,1.668584879212957e-05,0.048650661950715435,4593.771,0.5869507000315934
2.0,0.92,0.4289522117905444,4,0.0625,14,6.103515625e-05,16384,1000,0.0005371778127870237,0.03517129379011678,129.31,0.279266000026837
2.0,0.92,0.4289522117905444,5,0.03125,14,6.103515625e-05,16384,1000,0.0002682597057246567,0.0324645033944894,259.391,0.2888873000629246
2.0,0.92,0.4289522117905444,6,0.015625,14,6.103515625e-05,16384,1000,0.00013867879492184893,0.030720884706528832,524.106,0.27691160002723336
2.0,0.92,0.4289522117905444,7,0.0078125,14,6.103515625e-05,16384,1000,6.580469664641226e-05,0.029027280186033864,1073.783,0.3339299999643117
2.0,0.92,0.4289522117905444,8,0.00390625,14,6.103515625e-05,16384,1000,3.6322886572313856e-05,0.02708584117955863,2268.713,0.4585820999927819
2.0,0.92,0.4289522117905444,9,0.001953125,14,6.103515625e-05,16384,1000,1.607213891226041e-05,0.05587311145347217,4683.165,0.4824169999919832
2.0,0.9600000000000001,0.4381780460041329,4,0.0625,14,6.103515625e-05,16384,1000,0.000516185803100315,0.041622609588834174,132.404,0.3263131999410689
2.0,0.9600000000000001,0.4381780460041329,5,0.03125,14,6.103515625e-05,16384,1000,0.00029429293292000214,0.03838202010235708,265.541,0.386006300104782
2.0,0.9600000000000001,0.4381780460041329,6,0.015625,14,6.103515625e-05,16384,1000,0.00013362725128592405,0.03649116923764811,536.76,0.2996992999687791
2.0,0.9600000000000001,0.4381780460041329,7,0.0078125,14,6.103515625e-05,16384,1000,6.727922772114171e-05,0.03443218516977106,1100.482,0.36268110014498234
2.0,0.9600000000000001,0.4381780460041329,8,0.00390625,14,6.103515625e-05,16384,1000,3.291768276369121e-05,0.03203245449342663,2329.169,0.4260334998834878
2.0,0.9600000000000001,0.4381780460041329,9,0.001953125,14,6.103515625e-05,16384,1000,1.6486367417358624e-05,0.06361176293871093,4773.331,0.5087202999275178
2.0,1.0,0.4472135954999579,4,0.0625,14,6.103515625e-05,16384,1000,0.0005307838862534549,0.048800820355438174,135.551,0.22706179996021092
2.0,1.0,0.4472135954999579,5,0.03125,14,6.103515625e-05,16384,1000,0.000275716706018138,0.04518471112680408,271.884,0.2741621001623571
2.0,1.0,0.4472135954999579,6,0.015625,14,6.103515625e-05,16384,1000,0.00014672635444971013,0.0426983338699731,549.717,0.2988948000129312
2.0,1.0,0.4472135954999579,7,0.0078125,14,6.103515625e-05,16384,1000,6.518238769959834e-05,0.040405643613870695,1127.788,0.3144024999346584
2.0,1.0,0.4472135954999579,8,0.00390625,14,6.103515625e-05,16384,1000,3.560424191382445e-05,0.03751771943128834,2390.737,0.4395270000677556
2.0,1.0,0.4472135954999579,9,0.001953125,14,6.103515625e-05,16384,1000,1.6133639091428388e-05,0.07154995947316972,4862.211,0.4999772999435663
2.0,1.04,0.4560701700396552,4,0.0625,14,6.103515625e-05,16384,1000,0.0005257349621410572,0.056256935737241845,138.774,0.277389699826017
2.0,1.04,0.4560701700396552,5,0.03125,14,6.103515625e-05,16384,1000,0.00026477000365363995,0.05216538614885616,278.403,0.23361700004898012
2.0,1.04,0.4560701700396552,6,0.015625,14,6.103515625e-05,16384,1000,0.00013949994449552575,0.04953971684993331,563.023,0.2781854998320341
2.0,1.04,0.4560701700396552,7,0.0078125,14,6.103515625e-05,16384,1000,6.890218534575216e-05,0.04690817719770949,1155.726,0.335979700088501
2.0,1.04,0.4560701700396552,8,0.00390625,14,6.103515625e-05,16384,1000,3.4981467183588605e-05,0.043454498993965425,2453.693,0.428729800041765
2.0,1.04,0.4560701700396552,9,0.001953125,14,6.103515625e-05,16384,1000,1.7954687273136393e-05,0.07978856330726906,4949.945,0.47428079997189343
2.0,1.08,0.46475800154489005,4,0.0625,14,6.103515625e-05,16384,1000,0.0005676265050341121,0.06456129981071401,142.113,0.24367660004645586
2.0,1.08,0.46475800154489005,5,0.03125,14,6.103515625e-05,16384,1000,0.0002715655662322432,0.06011231816698996,285.083,0.24067870015278459
2.0,1.08,0.46475800154489005,6,0.015625,14,6.103515625e-05,16384,1000,0.00014046186610898773,0.05688106166883715,576.677,0.2238530998583883
2.0,1.08,0.46475800154489005,7,0.0078125,14,6.103515625e-05,16384,1000,6.720273084408618e-05,0.053764158015952884,1184.488,0.29765879991464317
2.0,1.08,0.46475800154489005,8,0.00390625,14,6.103515625e-05,16384,1000,3.4807711697274736e-05,0.04975102443999862,2517.717,0.4142942000180483
2.0,1.08,0.46475800154489005,9,0.001953125,14,6.103515625e-05,16384,1000,1.6841813462481325e-05,0.0882935767283679,5036.312,0.5908736998680979
2.0,1.12,0.4732863826479693,4,0.0625,14,6.103515625e-05,16384,1000,0.0005501107996661045,0.07368421052631578,145.54,0.39704929990693927
2.0,1.12,0.4732863826479693,5,0.03125,14,6.103515625e-05,16384,1000,0.00027361648726795105,0.06828631532784694,291.874,0.2970551000908017
2.0,1.12,0.4732863826479693,6,0.015625,14,6.103515625e-05,16384,1000,0.00013545580431042215,0.06465153767741455,590.566,0.3547785999253392
2.0,1.12,0.4732863826479693,7,0.0078125,14,6.103515625e-05,16384,1000,7.472248221956344e-05,0.06123052684835291,1213.594,0.4054185999557376
2.0,1.12,0.4732863826479693,8,0.00390625,14,6.103515625e-05,16384,1000,3.7948319768243775e-05,0.05653981578180053,2582.481,0.47027099994011223
2.0,1.12,0.4732863826479693,9,0.001953125,14,6.103515625e-05,16384,1000,1.663727995068541e-05,0.09685474745597396,5122.196,0.6530340001918375
