kappa,a,grid_role,sigma,level,hmax,h_mean,h_mean_over_hmax,fixed_step,fit_x,rmse_EA,rmse_EF,rmse_IF,rmse_SIA,rmse_FT,fixed_landing_count,ef_negative_before_count,ef_negative_after_count,ft_negative_before_count,ft_negative_after_count,ef_negative_before_proportion,ef_negative_after_proportion,ft_negative_before_proportion,ft_negative_after_proportion
0.2,0.04,paper_grid,0.028284271247461905,7,0.0078125,0.00045825414921296306,0.05865653109925927,0.0078125,0.0078125,1.448535403601121e-05,2.4239434823932475e-05,5.375866027238485e-05,9.49952901592595e-06,2.4239434823932475e-05,12800,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.04,paper_grid,0.028284271247461905,8,0.00390625,0.0002291453936370174,0.05866122077107645,0.00390625,0.00390625,2.1771503961615937e-05,1.551630251597437e-05,2.6387265172398725e-05,2.095046409966693e-05,1.551630251597437e-05,25600,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.04,paper_grid,0.028284271247461905,9,0.001953125,0.00010935262960957378,0.055988546360101775,0.001953125,0.001953125,0.001051101317312092,1.1904374320277645e-05,1.2805649566391866e-05,0.0010513963833073856,1.1904374320277645e-05,51200,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.8200000000000001,paper_grid,0.128062484748657,4,0.0625,0.00289389248774813,0.04630227980397008,0.0625,0.0625,2.87784541988585e-05,0.0017283511711551622,0.0006591733744578687,2.036603639162214e-05,0.0017002799651667927,1600,64,67,50,51,0.04,0.041875,0.03125,0.031875
0.2,0.8200000000000001,paper_grid,0.128062484748657,5,0.03125,0.001449835515014438,0.046394736480462016,0.03125,0.03125,3.282661332461308e-05,0.0009788649582910401,0.0003682039748649282,1.0016419982062615e-05,0.0010557433720151878,3200,77,77,71,71,0.0240625,0.0240625,0.0221875,0.0221875
0.2,0.8200000000000001,paper_grid,0.128062484748657,6,0.015625,0.0007256130256004734,0.0464392336384303,0.015625,0.015625,1.7696069820820998e-05,0.0007076649633000122,0.00018588106443972135,3.257405315119247e-05,0.0007691084055299944,6400,101,101,89,89,0.01578125,0.01578125,0.01390625,0.01390625
0.2,0.8200000000000001,paper_grid,0.128062484748657,7,0.0078125,0.00036296722449833703,0.04645980473578714,0.0078125,0.0078125,3.572703403588634e-05,0.0005129664084734373,9.097716175598475e-05,4.15058181549854e-05,0.0005269764998810807,12800,87,87,73,73,0.006796875,0.006796875,0.005703125,0.005703125
0.2,0.8200000000000001,paper_grid,0.128062484748657,8,0.00390625,0.00019013899986002777,0.04867558396416711,0.00390625,0.00390625,0.0002542853265825779,0.0003537766317785572,4.4284801956115405e-05,0.00024689214025127275,0.00035955050171189874,25600,99,99,78,78,0.0038671875,0.0038671875,0.003046875,0.003046875
0.2,0.8200000000000001,paper_grid,0.128062484748657,9,0.001953125,9.615899088002786e-05,0.049233403330574264,0.001953125,0.001953125,0.0014729263443546377,0.00027295788667377487,2.440588604523754e-05,0.0014749936400100811,0.000277495541480093,51200,109,109,84,84,0.00212890625,0.00212890625,0.001640625,0.001640625
0.2,1.6,paper_grid,0.1788854381999832,4,0.0625,0.0024711144574948584,0.039537831319917734,0.0625,0.0625,6.958439076360363e-05,0.003990564826428645,0.0011977704472505353,0.00010290944619929385,0.004055920526096776,1600,174,188,165,176,0.10875,0.1175,0.103125,0.11
