regime,alpha,backstop,h_max,n_paths,rho,rel_mean_bias,ks,w1,backstop_fraction,n_backstop_min,n_backstop_neg,mean_steps_per_path,runtime_s
C,0.01,implicit,0.00390625,20000,64.0,0.0017099734254334004,0.003501215004304392,8.708181485113394e-05,0.05171954468172927,2829342,0,2735.2735,3.1521607998292893
C,0.01,projected,0.00390625,20000,64.0,0.0070376830062900825,0.004285011744597167,0.00017563516009696996,0.05151791921822604,2818041,0,2735.0105,3.7394576999358833
C,0.01,blt,0.00390625,20000,64.0,0.0069338284850542845,0.004683098751266934,0.00018640471217555314,0.05179751169737122,2840315,0,2741.7485,5.524792399955913
D,-0.01125,projected,0.0625,20000,64.0,0.05925597688926677,0.08369897786335709,0.001229013658491807,0.3599234085144402,2252929,18318,315.5181,0.6138752000406384
D,-0.01125,blt,0.0625,20000,64.0,0.06124231370608149,0.08563788900551869,0.0012693123791176098,0.33590798847320696,2048924,18024,307.6658,1.1021763000171632
D,-0.01125,projected,0.03125,20000,64.0,0.04133665971892426,0.0689080170774613,0.000903716157556684,0.3824690259024369,4952503,2205,647.7267,1.4564678000751883
D,-0.01125,blt,0.03125,20000,64.0,0.06680339839709552,0.06884346094058073,0.0014023323534131588,0.36258303230448036,4602027,2296,634.9336,1.963464800035581
D,-0.01125,projected,0.015625,20000,64.0,0.032584029973755334,0.05514077253233907,0.0006500735990540968,0.40268292903128466,10659967,21,1323.62055,4.6995799001306295
D,-0.01125,blt,0.015625,20000,64.0,0.06459294198266803,0.05561585532891279,0.0013035915039460721,0.3859945483933323,10030181,29,1299.26835,3.04459619987756
D,-0.01125,projected,0.0078125,20000,64.0,0.049181870334594896,0.04310336972262563,0.0009904052266767104,0.41605580421153937,22265984,0,2675.84105,6.928363800048828
D,-0.01125,blt,0.0078125,20000,64.0,0.03196824253154165,0.04466850142552718,0.0007322884107748304,0.4026365540194751,21309292,0,2646.21925,6.936387100024149
D,-0.01125,projected,0.00390625,20000,64.0,0.0228439179654618,0.03552370318685751,0.000547351631248363,0.4260899593814175,46207093,0,5422.2227,13.86701889988035
D,-0.01125,blt,0.00390625,20000,64.0,0.018998544077049664,0.03541733409945939,0.0006702700028532097,0.4160053205237747,44581372,0,5358.26945,16.861109000165015
E,-0.06000000000000001,projected,0.0625,20000,64.0,0.4903585055210817,0.3654686531906563,0.00976723943700276,0.48233910825522536,3504521,246555,388.8422,0.7777233000379056
E,-0.06000000000000001,blt,0.0625,20000,64.0,0.48176442094970073,0.364922025779765,0.009587909250878773,0.43300082927002004,2913386,241426,364.2963,0.8941061999648809
E,-0.06000000000000001,projected,0.03125,20000,64.0,0.38536899199742725,0.3449530280624539,0.0076769652744614215,0.5137801958858255,8497658,122094,838.856,1.5342276999726892
E,-0.06000000000000001,blt,0.03125,20000,64.0,0.4395841639928028,0.3471572758244323,0.008757393384621339,0.4558147014328261,6989936,121891,780.1226,1.7053952000569552
E,-0.06000000000000001,projected,0.015625,20000,64.0,0.3270567968897159,0.3194641588436634,0.006519748132062166,0.5508812783065629,19417192,23995,1764.55325,3.7309663998894393
E,-0.06000000000000001,blt,0.015625,20000,64.0,0.4268428023044038,0.3239685294930919,0.008494596335710689,0.49418916873757035,16266286,24698,1648.25385,4.898550000041723
E,-0.06000000000000001,projected,0.0078125,20000,64.0,0.30964851812862665,0.2946424244908285,0.006167355504513422,0.585526256388493,42929763,857,3665.9859,7.8670225001405925
E,-0.06000000000000001,blt,0.0078125,20000,64.0,0.3683130531722761,0.29590212278539524,0.007376118826993171,0.5366961200754101,37142858,901,3460.40875,9.435219099977985
E,-0.06000000000000001,projected,0.00390625,20000,64.0,0.2907629641283153,0.2700120442405925,0.005873475691328593,0.6120230305943971,92662413,0,7570.1737,15.136394399916753
E,-0.06000000000000001,blt,0.00390625,20000,64.0,0.32206376742941417,0.2728181425141099,0.006409775272367317,0.5716329075121487,82498267,0,7216.018,32.312362799886614
