kappa,a,sigma,EA,EF,IF,SIA,FT
2.000000000000000000e+00,7.200000000000000844e-01,3.794733192202055516e-01,1.022338607647719000e+00,5.158405899957689833e-01,9.499708007320464276e-01,9.927719721400660724e-01,5.211907124145588321e-01
2.000000000000000000e+00,7.600000000000000089e-01,3.898717737923586002e-01,1.021242305092727065e+00,5.228873577689808760e-01,9.642415853878736343e-01,1.005329603288340312e+00,5.253507556375596188e-01
2.000000000000000000e+00,8.000000000000000444e-01,4.000000000000000222e-01,1.000979689334672296e+00,5.222434678213606629e-01,9.301547228220866659e-01,1.021464067838629974e+00,5.300747056121717371e-01
2.000000000000000000e+00,8.400000000000000799e-01,4.098780306383839611e-01,1.010976866211220626e+00,5.010253941105152764e-01,9.113935549550855608e-01,9.928273196358715635e-01,5.167219043575594917e-01
2.000000000000000000e+00,8.800000000000000044e-01,4.195235392680606301e-01,1.033331666244182045e+00,4.930964824257215717e-01,8.980731038591778237e-01,9.943554841856222515e-01,4.989598410482561919e-01
2.000000000000000000e+00,9.200000000000000400e-01,4.289522117905443799e-01,9.920566548234825976e-01,4.918676256359332255e-01,9.027677051182603218e-01,9.734662793605111109e-01,5.005676043613160875e-01
2.000000000000000000e+00,9.600000000000000755e-01,4.381780460041329039e-01,1.015323225770653037e+00,4.939415480782947121e-01,8.746789390325107050e-01,1.007151933111390951e+00,5.019872019636754112e-01
2.000000000000000000e+00,1.000000000000000000e+00,4.472135954999579277e-01,1.004903259619434941e+00,5.014747025771683075e-01,8.607165100480760334e-01,9.661371793050327339e-01,5.254926328997669982e-01
2.000000000000000000e+00,1.040000000000000036e+00,4.560701700396552205e-01,9.873141581825382040e-01,4.828891920567796037e-01,8.479370800597670899e-01,9.704461214618397280e-01,5.106518937135386960e-01
2.000000000000000000e+00,1.080000000000000071e+00,4.647580015448900537e-01,1.003327481147185285e+00,4.745481572487298405e-01,8.062079824760440827e-01,9.726645484573672729e-01,4.892198293405692899e-01
2.000000000000000000e+00,1.120000000000000107e+00,4.732863826479692948e-01,9.912648938555679301e-01,4.912621680091538434e-01,7.992827966244510085e-01,9.256618433148623426e-01,5.214872512552649608e-01
2.000000000000000000e+00,1.160000000000000142e+00,4.816637831516918378e-01,9.854926526715560575e-01,4.812731321024820152e-01,7.756049483799869471e-01,9.219674063856440061e-01,5.065195364331777084e-01
2.000000000000000000e+00,1.199999999999999956e+00,4.898979485566355985e-01,9.530079832862031752e-01,4.659833590176997165e-01,7.635181587997543762e-01,9.029383328536145781e-01,5.062271675223978251e-01
2.000000000000000000e+00,1.239999999999999991e+00,4.979959839195493010e-01,9.360397245302514158e-01,4.606995831889641457e-01,7.326522308795861971e-01,9.142595332253078411e-01,4.873671472587347564e-01
2.000000000000000000e+00,1.280000000000000027e+00,5.059644256269406615e-01,8.862891254821375631e-01,4.592743759472301956e-01,7.450334519324240956e-01,8.940108294502959740e-01,4.877603573650501345e-01
2.000000000000000000e+00,1.320000000000000062e+00,5.138093031466052230e-01,9.224335561250160964e-01,4.699075578952534582e-01,7.163044979142983992e-01,8.486844939544186950e-01,4.937283884716355264e-01
2.000000000000000000e+00,1.360000000000000098e+00,5.215361924162119633e-01,8.953375311037566897e-01,4.817169292272855952e-01,7.134804020529026403e-01,8.458495252822884058e-01,4.883631061512835880e-01
2.000000000000000000e+00,1.400000000000000133e+00,5.291502622129181654e-01,8.512660705203232148e-01,4.407609462293104463e-01,7.232004257833891669e-01,8.319638452016122621e-01,4.832892374517865908e-01
2.000000000000000000e+00,1.440000000000000169e+00,5.366563145999495577e-01,8.506030814891848424e-01,4.692761910694709382e-01,6.840520342208680216e-01,8.072818078445879175e-01,4.835361098328788687e-01
2.000000000000000000e+00,1.479999999999999982e+00,5.440588203494177710e-01,7.861882620452642634e-01,4.697945541045854267e-01,6.622541189278599028e-01,8.017905259605755397e-01,4.961351486630740659e-01
2.000000000000000000e+00,1.520000000000000018e+00,5.513619500836088871e-01,7.829446270119113649e-01,5.086270349969103099e-01,6.565692820955182363e-01,7.699981332376115706e-01,4.735817860002383695e-01
2.000000000000000000e+00,1.560000000000000053e+00,5.585696017507576494e-01,7.585188863692849948e-01,4.695637230287656450e-01,6.437844244530390725e-01,7.534240388294732860e-01,4.784834004907469462e-01
2.000000000000000000e+00,1.600000000000000089e+00,5.656854249492381248e-01,7.124951999336948116e-01,4.433921221868407092e-01,6.315967179243319185e-01,7.298962377613421593e-01,4.698090935808324486e-01
2.000000000000000111e-01,4.000000000000000083e-02,2.828427124746190485e-02,9.991420252103955235e-01,5.156385240418949190e-01,9.994134785127986031e-01,9.987319649422570222e-01,5.156385240418949190e-01
2.000000000000000111e-01,8.000000000000000167e-02,4.000000000000000083e-02,1.000919507599809855e+00,4.934734217179507221e-01,9.965159656298637758e-01,1.000988770754429380e+00,4.934734217179507221e-01
2.000000000000000111e-01,1.199999999999999956e-01,4.898979485566356401e-02,1.003350646279995484e+00,5.038579101720290776e-01,9.969097595904826692e-01,1.005615970714813789e+00,5.038579101720290776e-01
2.000000000000000111e-01,1.600000000000000033e-01,5.656854249492380970e-02,1.000138834156695022e+00,4.899502041862850987e-01,9.972512644404528670e-01,1.001331359806629795e+00,4.899502041862850987e-01
2.000000000000000111e-01,2.000000000000000111e-01,6.324555320336759656e-02,1.001413427341807605e+00,5.027304882588190527e-01,9.984735899335953624e-01,1.003122957894510447e+00,5.027304882588190527e-01
2.000000000000000111e-01,2.400000000000000189e-01,6.928203230275510605e-02,1.000291283338125004e+00,4.961484745276961150e-01,1.001029894987625735e+00,9.980419837635569058e-01,4.961484745276961150e-01
2.000000000000000111e-01,2.799999999999999711e-01,7.483314773547883325e-02,1.001207133393483550e+00,5.119077306858613730e-01,1.004709579244699391e+00,1.002602725406720019e+00,5.119077306858613730e-01
2.000000000000000111e-01,3.200000000000000067e-01,8.000000000000000167e-02,9.983958389685861912e-01,5.200007439793177255e-01,9.907321188685341840e-01,9.972890463623349522e-01,5.200007182677711670e-01
2.000000000000000111e-01,3.599999999999999867e-01,8.485281374238570762e-02,9.995315061800553735e-01,5.125967686175253446e-01,9.973516271194332594e-01,1.004610170719843820e+00,5.126356811461003637e-01
2.000000000000000111e-01,3.999999999999999667e-01,8.944271909999158832e-02,9.942884791723499704e-01,5.037476565263794281e-01,1.000240393306579101e+00,9.911843010843977009e-01,5.036098892156166684e-01
2.000000000000000111e-01,4.400000000000000022e-01,9.380831519646860850e-02,9.955801937591560735e-01,4.954056970022006623e-01,9.920089561357294805e-01,9.952619176497710107e-01,4.953857814142866300e-01
2.000000000000000111e-01,4.799999999999999822e-01,9.797958971132712802e-02,1.003174053509025221e+00,4.951384084561831767e-01,9.924473815305689950e-01,9.999184306325648031e-01,4.954682695803561687e-01
2.000000000000000111e-01,5.200000000000000178e-01,1.019803902718557087e-01,1.007129260757014810e+00,5.055142096612383895e-01,9.844431102010369194e-01,1.010520444823891584e+00,5.055252656634195985e-01
2.000000000000000111e-01,5.600000000000000533e-01,1.058300524425836442e-01,1.005468910151438244e+00,5.051477057000162141e-01,9.851194731376076152e-01,1.012690820190153662e+00,5.066062967249487237e-01
2.000000000000000111e-01,6.000000000000000888e-01,1.095445115010332399e-01,1.006166103989855509e+00,5.010140044711034468e-01,1.006338027072931407e+00,1.009075254174398140e+00,5.015160634202117107e-01
2.000000000000000111e-01,6.400000000000000133e-01,1.131370849898476194e-01,1.005111640319907185e+00,4.968432514768662545e-01,9.869770767687775503e-01,1.010860904547631556e+00,4.977786263382031340e-01
2.000000000000000111e-01,6.800000000000000488e-01,1.166190378969060304e-01,1.001044811688398539e+00,5.088737783733681130e-01,9.538297170767959798e-01,1.000329028355513294e+00,5.092240935114413780e-01
2.000000000000000111e-01,7.200000000000000844e-01,1.200000000000000233e-01,9.921370259760964316e-01,5.047132816868482585e-01,9.478636008157949044e-01,9.831042058413053120e-01,5.050221415866685826e-01
2.000000000000000111e-01,7.600000000000000089e-01,1.232882800593795430e-01,9.729323883686179508e-01,5.001940597404826994e-01,9.514708181526224662e-01,9.595267683040754614e-01,5.011562905699786796e-01
