regime,scheme,scheme_variant,noise,payoff,n_steps,dt,n_paths,approx_mean,exact_value,signed_error,weak_error,mc_standard_error,error_to_se,runtime_s,steps_per_path,backstop_fraction,estimator,signed_error_cv,mc_standard_error_cv,error_to_se_cv,variance_reduction,batch_standard_error_cv
A,BLT,fixed,shared,g1,2048,0.00048828125,200000,0.019993182996023203,0.02,-6.817003976797152e-06,6.817003976797152e-06,1.5644816792917124e-05,0.43573562202936206,17.31491969899912,nan,nan,control-variate,-4.884310539908483e-07,8.665394502496676e-08,5.636570312524391,32595.99818444695,8.309144639734418e-08
A,BLT,fixed,shared,g2,2048,0.00048828125,200000,2.8860300186617244e-05,2.898725021392412e-05,-1.2695002730687448e-07,1.2695002730687448e-07,1.7871070532489858e-07,0.7103661030047279,17.31491969899912,nan,nan,control-variate,-3.0064345153781007e-08,4.824673852856941e-09,6.231373574812387,1372.0350843305519,3.931829543519434e-09
A,BLT,fixed,shared,g3,2048,0.00048828125,200000,0.9802293084139995,0.9802226910132205,6.617400778964708e-06,6.617400778964708e-06,1.529868919257072e-05,0.4325469127236221,17.31491969899912,nan,nan,control-variate,4.5545651523026076e-07,8.259049784560632e-08,5.514635788752426,34312.17713293417,7.978068569511145e-08
A,BLT,fixed,shared,g4,2048,0.00048828125,200000,0.9802099604485871,0.9802079963298019,1.964118785203634e-06,1.964118785203634e-06,9.538456197980053e-06,0.2059157943839563,17.31491969899912,nan,nan,control-variate,2.1414665854203345e-07,5.257987059230557e-08,4.072787858351466,32909.18700976261,5.682077238482812e-08
A,FTE,fixed,shared,g1,4096,0.000244140625,200000,0.019997393733332595,0.02,-2.606266667405411e-06,2.606266667405411e-06,1.5670278069877753e-05,0.16631910779013656,24.487902265000685,nan,nan,control-variate,7.602226403990761e-10,6.093323649347959e-09,0.12476321366589921,6613706.4271285245,4.911208813416413e-09
A,FTE,fixed,shared,g2,4096,0.000244140625,200000,2.9013402845983898e-05,2.898725021392412e-05,2.615263205977769e-08,2.615263205977769e-08,1.7912911583430528e-07,0.1459987782442298,24.487902265000685,nan,nan,control-variate,5.570444551909492e-09,2.8785776497047224e-09,1.9351378457624357,3872.3666075144456,2.571731733844717e-09
A,FTE,fixed,shared,g3,4096,0.000244140625,200000,0.9802252587401653,0.9802226910132205,2.5677269448063206e-06,2.5677269448063206e-06,1.532330889552872e-05,0.16757000477589884,24.487902265000685,nan,nan,control-variate,4.939044074175442e-09,6.238137180586739e-09,0.7917498335153463,6033860.578917348,5.6997233216372085e-09
A,FTE,fixed,shared,g4,4096,0.000244140625,200000,0.980216229310416,0.9802079963298019,8.232980614017508e-06,8.232980614017508e-06,9.535176294365305e-06,0.8634324484260124,24.487902265000685,nan,nan,control-variate,2.317257796602293e-09,1.3893810737106876e-09,1.6678345778912043,47099326.501701474,9.311178857271589e-10
A,HH,fixed,shared,g1,4096,0.000244140625,200000,0.01999737779746054,0.02,-2.6222025394607263e-06,2.6222025394607263e-06,1.5670193608837615e-05,0.16733695861816708,25.39273916699858,nan,nan,control-variate,-1.3984263671642858e-08,6.135821532701945e-08,0.22791183865292128,65223.37778318952,6.021757640432285e-08
A,HH,fixed,shared,g2,4096,0.000244140625,200000,2.9014920776559085e-05,2.898725021392412e-05,2.767056263496399e-08,2.767056263496399e-08,1.7915559627061984e-07,0.15444989278016627,25.39273916699858,nan,nan,control-variate,7.751053363525393e-09,3.4010838285846298e-09,2.278995095146189,2774.7642134923694,3.054234391037669e-09
A,HH,fixed,shared,g3,4096,0.000244140625,200000,0.9802252740845541,0.9802226910132205,2.583071333641758e-06,2.583071333641758e-06,1.5323210014971487e-05,0.1685724682437934,25.39273916699858,nan,nan,control-variate,1.9436769634900547e-08,5.849322953662353e-08,0.3322909298884049,68625.94014424819,5.757226388184984e-08
A,HH,fixed,shared,g4,4096,0.000244140625,200000,0.9802162505675154,0.9802079963298019,8.254237713411747e-06,8.254237713411747e-06,9.535179209413769e-06,0.8656615184812269,25.39273916699858,nan,nan,control-variate,2.9590628720030224e-08,3.688080550937242e-08,0.8023314109153727,66843.15246227564,3.614610482483355e-08
A,ProjEuler,fixed,shared,g1,4096,0.000244140625,200000,0.019997614904243042,0.02,-2.385095756957545e-06,2.385095756957545e-06,1.5670022239005082e-05,0.15220755405315742,24.39665337400129,nan,nan,control-variate,2.2340768680935249e-07,6.135464542115731e-08,3.6412513718531474,65229.541289435336,6.003150621739283e-08
A,ProjEuler,fixed,shared,g2,4096,0.000244140625,200000,2.9014037498377593e-05,2.898725021392412e-05,2.6787284453473033e-08,2.6787284453473033e-08,1.791334636283219e-07,0.14953813715707012,24.39665337400129,nan,nan,control-variate,6.869288947603324e-09,3.4004837422580723e-09,2.020091689378821,2775.057849082717,3.056892618824426e-09
A,ProjEuler,fixed,shared,g3,4096,0.000244140625,200000,0.9802250411553395,0.9802226910132205,2.350142119077252e-06,2.350142119077252e-06,1.5323052564917665e-05,0.15337297246228432,24.39665337400129,nan,nan,control-variate,-2.1377045304999055e-07,5.849058769577933e-08,3.654783811745085,68630.72911195361,5.738921392949499e-08
A,ProjEuler,fixed,shared,g4,4096,0.000244140625,200000,0.9802161316753567,0.9802079963298019,8.135345554718013e-06,8.135345554718013e-06,9.5350560660057e-06,0.8532037460924929,24.39665337400129,nan,nan,control-variate,-8.943990935811248e-08,3.689067315592573e-08,2.424458588220307,66805.6727874616,3.6066412805232254e-08
A,KL,uniform,shared,g1,4096,0.000244140625,200000,0.01999315503295147,0.02,-6.8449670485321125e-06,6.8449670485321125e-06,1.5666436263440743e-05,0.43691921592312316,20.460832999001013,nan,nan,control-variate,-4.2363226069981255e-06,6.116069050581897e-08,69.26544765865702,65613.87281100474,6.049955877870696e-08
