regime,sigma,delta,alpha,h_max,rho,n_paths,backstop_kind,backstop_fraction,n_backstop_min,n_backstop_neg,mean_steps_per_path,terminal_mean,exact_mean,rel_mean_error,min_terminal
D,0.5,0.64,-0.01125,0.0078125,64.0,20000,projected,0.41605580421153937,22265984,0,2675.84105,0.020983637406691895,0.02,0.04918187033459472,8.942022077587653e-07
D,0.5,0.64,-0.01125,0.00390625,64.0,20000,projected,0.4260899593814175,46207093,0,5422.2227,0.020456878359309236,0.02,0.0228439179654618,4.327439934864729e-07
D,0.5,0.64,-0.01125,0.001953125,64.0,20000,projected,0.43317572439402335,94674493,0,10927.9546,0.02021606347178933,0.02,0.01080317358946644,2.7486657673547743e-07
E,0.8,0.24999999999999994,-0.06000000000000001,0.125,64.0,20000,projected,0.30956358345342744,564777,504099,172.6424,0.029799586719036195,0.02,0.4899793359518097,6.709079461109794e-10
E,0.8,0.24999999999999994,-0.06000000000000001,0.0625,64.0,20000,projected,0.48233910825522536,3504521,246555,388.8422,0.029807170110421635,0.02,0.4903585055210817,1.5629290753150702e-09
E,0.8,0.24999999999999994,-0.06000000000000001,0.03125,64.0,20000,projected,0.5137801958858255,8497658,122094,838.856,0.027707379839948545,0.02,0.38536899199742725,3.869732149063977e-09
E,0.8,0.24999999999999994,-0.06000000000000001,0.015625,64.0,20000,projected,0.5508812783065629,19417192,23995,1764.55325,0.026541135937794325,0.02,0.32705679688971623,2.031012533687413e-06
E,0.8,0.24999999999999994,-0.06000000000000001,0.0078125,64.0,20000,projected,0.585526256388493,42929763,857,3665.9859,0.026192970362572534,0.02,0.30964851812862665,1.7507324924004312e-06
E,0.8,0.24999999999999994,-0.06000000000000001,0.00390625,64.0,20000,projected,0.6120230305943971,92662413,0,7570.1737,0.025815259282566307,0.02,0.2907629641283153,9.09286217969525e-07
E,0.8,0.24999999999999994,-0.06000000000000001,0.001953125,64.0,20000,projected,0.6319226308665998,196511991,0,15548.7382,0.024950784537508458,0.02,0.24753922687542287,4.1339832050013577e-07
