regime,scheme,payoff,fitted_weak_order,n_points_used,n_points_total,local_slopes_fine_to_coarse
A,BLT,g1,nan,2,6,noise;noise;noise;noise;1.95
A,BLT,g2,1.226655099497646,4,6,noise;noise;1.87;0.88;1.05
A,BLT,g3,nan,1,6,noise;noise;noise;noise;noise
A,BLT,g4,nan,2,6,noise;noise;noise;noise;1.29
A,FTE,g1,nan,0,6,noise;noise;noise;noise;noise
A,FTE,g2,0.6843233215806349,4,6,noise;noise;-0.07;1.23;0.71
A,FTE,g3,nan,1,6,noise;noise;noise;noise;noise
A,FTE,g4,nan,0,6,noise;noise;noise;noise;noise
A,HH,g1,nan,0,6,noise;noise;noise;noise;noise
A,HH,g2,0.768072812483086,4,6,noise;noise;0.15;1.18;0.83
A,HH,g3,nan,1,6,noise;noise;noise;noise;noise
A,HH,g4,nan,0,6,noise;noise;noise;noise;noise
A,IF,g1,nan,1,6,noise;noise;noise;noise;noise
A,IF,g2,0.9776797805009679,3,6,noise;noise;noise;0.80;1.15
A,IF,g3,nan,1,6,noise;noise;noise;noise;noise
A,IF,g4,nan,1,6,noise;noise;noise;noise;noise
A,KL,g1,1.0153347076327972,5,6,noise;1.09;1.01;0.96;1.03
A,KL,g2,1.015824625987382,5,6,noise;0.79;1.37;0.89;0.91
A,KL,g3,1.0153792991236876,5,6,noise;1.09;1.00;0.97;1.03
A,KL,g4,1.0344931112936024,6,6,1.49;0.97;0.84;1.07;0.99
A,KLM,g1,nan,0,6,noise;noise;noise;noise;noise
A,KLM,g2,nan,2,6,noise;noise;noise;noise;0.39
A,KLM,g3,nan,0,6,noise;noise;noise;noise;noise
A,ProjEuler,g1,nan,2,6,noise;noise;noise;noise;0.18
A,ProjEuler,g2,0.766636586261275,4,6,noise;noise;0.09;1.21;0.85
A,ProjEuler,g3,nan,2,6,noise;noise;noise;noise;0.16
A,ProjEuler,g4,0.28869388179101624,3,6,noise;noise;noise;-0.04;0.62
B,BLT,g1,1.0826778363795542,3,6,noise;noise;noise;0.78;1.39
B,BLT,g2,0.9730836040650117,3,6,noise;noise;noise;0.90;1.04
B,BLT,g3,1.0881107163360304,3,6,noise;noise;noise;0.77;1.41
B,BLT,g4,nan,2,6,noise;noise;noise;noise;1.12
B,FTE,g1,nan,0,6,noise;noise;noise;noise;noise
B,FTE,g2,0.5711579378209377,4,6,noise;noise;-0.27;1.20;0.58
B,FTE,g3,nan,1,6,noise;noise;noise;noise;noise
