backstop_fraction,dt,l1,l2,mean_steps_per_path,proj_post_projection_fraction,proj_pre_floor_fraction,proj_y_floor,reference,reference_n_steps,regime,runtime_s,scheme,scheme_variant,sensitivity_kind
0.13250292277009834,0.00390625,0.0020904613561065015,0.0039050265873343936,290.82,,,,HH,4096,D,0.3484836998395622,KL,adaptive-soft-zero,strong_error
0.10547892893438346,0.001953125,0.0017278015543897686,0.0034023269499602682,564.3165,,,,HH,4096,D,0.38056580000557005,KL,adaptive-soft-zero,strong_error
0.35332682318529623,0.0625,0.0005834124433502772,0.0009920511409214352,327.1815,,,,HH,4096,D,0.27261109999381006,KLM,projected,strong_error
0.3650891383842919,0.03125,0.00031239430488026596,0.0005689496329775243,692.687,,,,HH,4096,D,0.5524887999054044,KLM,projected,strong_error
0.35969036532700305,0.015625,0.00017017310581930972,0.00024877101263420776,1498.411,,,,HH,4096,D,0.8427142999134958,KLM,projected,strong_error
0.4137572746908047,0.0078125,0.000171940505043849,0.00025768232958192075,2236.693,,,,HH,4096,D,1.730823100078851,KLM,projected,strong_error
0.4856486905674956,0.00390625,0.00017222731588727503,0.0002624572682624691,3163.126,,,,HH,4096,D,2.2033627000637352,KLM,projected,strong_error
0.6508998942527905,0.001953125,0.0001720593904216178,0.0002631401458929868,3931.073,,,,HH,4096,D,2.3650779998861253,KLM,projected,strong_error
nan,0.0625,0.02164009672708875,0.04614014870253807,16.0,,,,HH,4096,E,0.006989399902522564,FTE,fixed,strong_error
nan,0.03125,0.01829518061571295,0.04006992411667728,32.0,,,,HH,4096,E,0.008129699854180217,FTE,fixed,strong_error
nan,0.015625,0.01718991429095215,0.038440526702709206,64.0,,,,HH,4096,E,0.008060700027272105,FTE,fixed,strong_error
nan,0.0078125,0.014083400755730044,0.030857984694737585,128.0,,,,HH,4096,E,0.013158800080418587,FTE,fixed,strong_error
nan,0.00390625,0.01238968316661697,0.027569150821822968,256.0,,,,HH,4096,E,0.020159299951046705,FTE,fixed,strong_error
nan,0.001953125,0.011003787373345402,0.02497355655745546,512.0,,,,HH,4096,E,0.04451799998059869,FTE,fixed,strong_error
nan,0.0625,0.0207733395998589,0.030293204785476282,16.0,0.45734375,0.43046875,0.1,HH,4096,E,0.00848369998857379,ProjEuler,fixed,strong_error
nan,0.03125,0.014435596216082296,0.022924529116352673,32.0,0.36946875,0.358171875,0.07071067811865477,HH,4096,E,0.007920700125396252,ProjEuler,fixed,strong_error
nan,0.015625,0.010041310702583853,0.01730448752626297,64.0,0.3034453125,0.2986328125,0.05,HH,4096,E,0.01088209985755384,ProjEuler,fixed,strong_error
nan,0.0078125,0.006937539373592565,0.01295440251393497,128.0,0.2518515625,0.2498203125,0.03535533905932738,HH,4096,E,0.013050999958068132,ProjEuler,fixed,strong_error
nan,0.00390625,0.004801897226184926,0.009877394193413913,256.0,0.213576171875,0.212703125,0.025,HH,4096,E,0.027400700142607093,ProjEuler,fixed,strong_error
nan,0.001953125,0.003059823991175667,0.006861497957089172,512.0,0.1833681640625,0.182978515625,0.01767766952966369,HH,4096,E,0.04706709994934499,ProjEuler,fixed,strong_error
