regime,scheme,scheme_variant,reference,reference_n_steps,adaptive_grid_steps,dt,l1,l2,runtime_s,mean_steps_per_path,backstop_fraction,n_paths,signature_hash,coarse_n_steps,reference_grid,schemes,master_seed
D,KL,adaptive-soft-zero,HH,4194304,131072,0.015625,0.003359891448484079,0.006202901795030671,2.1355672400000003,78.84245,0.1992429205332914,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KL,adaptive-soft-zero,HH,262144,131072,0.0078125,0.0026941720040731133,0.005064637139783299,2.2003397140000516,151.37285,0.1656621382235982,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KL,adaptive-soft-zero,HH,1048576,131072,0.0078125,0.0026901876905753587,0.005064126732785562,2.2003397140000516,151.37285,0.1656621382235982,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KL,adaptive-soft-zero,HH,4194304,131072,0.0078125,0.002686932164586262,0.005064047285166147,2.2003397140000516,151.37285,0.1656621382235982,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KL,adaptive-soft-zero,HH,262144,131072,0.00390625,0.0021289746198551555,0.004087911662156796,2.2826630899999145,292.9551,0.13650726681324202,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KL,adaptive-soft-zero,HH,1048576,131072,0.00390625,0.0021272962929335267,0.004088646645361546,2.2826630899999145,292.9551,0.13650726681324202,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KL,adaptive-soft-zero,HH,4194304,131072,0.00390625,0.002127468074886287,0.004088413737021928,2.2826630899999145,292.9551,0.13650726681324202,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,262144,131072,0.125,0.0014251474044675286,0.00240570041352292,2.621850945999995,151.3437,0.34359375381994756,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,1048576,131072,0.125,0.0014899573932472033,0.002513658620952049,2.621850945999995,151.3437,0.34359375381994756,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,4194304,131072,0.125,0.0015360254020922713,0.002601839711997206,2.621850945999995,151.3437,0.34359375381994756,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
