sensitivity_kind,kappa,a,sigma,level,hmax,reference_power,reference_step,number_of_fine_steps,n_paths,rmse,backstop_fraction,mean_steps_per_path,runtime_s
klm_fig3_jax,2.0,0.04,0.08944271909999159,9,0.001953125,18,3.814697265625e-06,262144,256,5.658546422300373e-06,0.0,2751.42578125,0.5201337050000348
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,4,0.0625,18,3.814697265625e-06,262144,256,0.0003630135429413942,0.0,92.890625,0.41114946899995175
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,5,0.03125,18,3.814697265625e-06,262144,256,0.0001733193532202619,0.0,185.32421875,0.40900403099999494
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,6,0.015625,18,3.814697265625e-06,262144,256,9.264290185328525e-05,0.0,370.18359375,0.4239376010000342
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,7,0.0078125,18,3.814697265625e-06,262144,256,4.341203779753231e-05,0.0,740.359375,0.4480202280000185
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,8,0.00390625,18,3.814697265625e-06,262144,256,2.148953210361355e-05,0.0,1482.453125,0.4871454919999678
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,9,0.001953125,18,3.814697265625e-06,262144,256,1.1355702619781906e-05,0.0,2973.48828125,0.5858045659999789
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,4,0.0625,18,3.814697265625e-06,262144,256,0.0004974005054653589,0.0010330578512396695,102.09375,0.4160263619999114
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,5,0.03125,18,3.814697265625e-06,262144,256,0.00024081106156587995,0.000882307810342182,203.65625,0.4129067410000289
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,6,0.015625,18,3.814697265625e-06,262144,256,0.00012915325637025485,0.0008351011240269152,406.94921875,0.43356490100006795
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,7,0.0078125,18,3.814697265625e-06,262144,256,5.3720208061495496e-05,0.0008397836717261634,814.01171875,0.46858849700004157
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,8,0.00390625,18,3.814697265625e-06,262144,256,2.7953113572901322e-05,0.0008193265231807119,1630.53125,0.5310466549999546
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,9,0.001953125,18,3.814697265625e-06,262144,256,1.4479182413610458e-05,0.0008139949847405779,3272.82421875,0.6689690160000055
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,4,0.0625,18,3.814697265625e-06,262144,256,0.000545774807408717,0.009495184097274404,114.3671875,0.4183333239999456
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,5,0.03125,18,3.814697265625e-06,262144,256,0.00024292067529974357,0.008820003425244048,228.0859375,0.42852732500000457
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,6,0.015625,18,3.814697265625e-06,262144,256,0.00016318296879459058,0.008218849361089447,455.79296875,0.4435175959999924
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,7,0.0078125,18,3.814697265625e-06,262144,256,7.102753160219203e-05,0.007962854291331669,911.94921875,0.4887972759999002
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,8,0.00390625,18,3.814697265625e-06,262144,256,3.2291239605820366e-05,0.007903533294008018,1827.703125,0.5754372090000288
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,9,0.001953125,18,3.814697265625e-06,262144,256,1.829440669906453e-05,0.00769684000952932,3672.875,0.7460186159999012
klm_fig3_jax,2.0,0.9314285714285715,0.4316082880178673,4,0.0625,18,3.814697265625e-06,262144,256,0.0006604575378907268,0.039553813687066626,129.5703125,0.4196548799999391
klm_fig3_jax,2.0,0.9314285714285715,0.4316082880178673,5,0.03125,18,3.814697265625e-06,262144,256,0.0003385628899492492,0.0365296803652968,258.3515625,0.4333863560000282
klm_fig3_jax,2.0,0.9314285714285715,0.4316082880178673,6,0.015625,18,3.814697265625e-06,262144,256,0.00013685431547048803,0.034715021985423776,516.14453125,0.45409431300004144
klm_fig3_jax,2.0,0.9314285714285715,0.4316082880178673,7,0.0078125,18,3.814697265625e-06,262144,256,8.769421799477691e-05,0.03353011697343988,1032.88671875,0.5024824759999547
klm_fig3_jax,2.0,0.9314285714285715,0.4316082880178673,8,0.00390625,18,3.814697265625e-06,262144,256,3.748028366077105e-05,0.03294609831959243,2070.97265625,0.6098124869999992
klm_fig3_jax,2.0,0.9314285714285715,0.4316082880178673,9,0.001953125,18,3.814697265625e-06,262144,256,1.9046652244745065e-05,0.03253833927977008,4165.87890625,0.8079660519999834
klm_fig3_jax,2.0,1.1542857142857144,0.4804759545046379,4,0.0625,18,3.814697265625e-06,262144,256,0.0007138072363618326,0.08291117417712118,147.27734375,0.4275294919999624
klm_fig3_jax,2.0,1.1542857142857144,0.4804759545046379,5,0.03125,18,3.814697265625e-06,262144,256,0.00041626205869620613,0.07824478279386712,293.5,0.4287724570000364
klm_fig3_jax,2.0,1.1542857142857144,0.4804759545046379,6,0.015625,18,3.814697265625e-06,262144,256,0.00018890390627747232,0.07443717260040254,586.1171875,0.46359422599994105
